Date,Open,High,Low,Close
5/27/2018,"7,362.08","7,381.74","7,270.96","7,368.22"
5/28/2018,"7,371.31","7,419.05","7,100.89","7,135.99"
5/29/2018,"7,129.46","7,526.42","7,090.68","7,472.59"
5/30/2018,"7,469.73","7,573.77","7,313.60","7,406.52"
5/31/2018,"7,406.15","7,608.90","7,361.13","7,494.17"
6/1/2018,"7,500.70","7,604.73","7,407.34","7,541.45"
6/2/2018,"7,536.72","7,695.83","7,497.26","7,643.45"
6/3/2018,"7,632.09","7,754.89","7,613.04","7,720.25"
6/4/2018,"7,722.53","7,753.82","7,474.04","7,514.47"
6/5/2018,"7,500.90","7,643.23","7,397.00","7,633.76"
6/6/2018,"7,625.97","7,680.43","7,502.01","7,653.98"
6/7/2018,"7,650.82","7,741.27","7,650.82","7,678.24"
6/8/2018,"7,685.14","7,698.19","7,558.40","7,624.92"
6/9/2018,"7,632.52","7,683.58","7,531.98","7,531.98"
6/10/2018,"7,499.55","7,499.55","6,709.07","6,786.02"
6/11/2018,"6,799.29","6,910.18","6,706.63","6,906.92"
6/12/2018,"6,905.82","6,907.96","6,542.08","6,582.36"
6/13/2018,"6,596.88","6,631.66","6,285.63","6,349.90"
6/14/2018,"6,342.75","6,707.14","6,334.46","6,675.35"
6/15/2018,"6,674.08","6,681.08","6,433.87","6,456.58"
6/16/2018,"6,455.45","6,592.49","6,402.29","6,550.16"
6/17/2018,"6,545.53","6,589.11","6,499.27","6,499.27"
6/18/2018,"6,510.07","6,781.14","6,446.68","6,734.82"
6/19/2018,"6,742.39","6,822.50","6,709.92","6,769.94"
6/20/2018,"6,770.76","6,821.56","6,611.88","6,776.55"
6/21/2018,"6,780.09","6,810.94","6,715.17","6,729.74"
6/22/2018,"6,737.88","6,747.08","6,006.60","6,083.69"
6/23/2018,"6,090.10","6,224.82","6,071.81","6,162.48"
6/24/2018,"6,164.28","6,223.78","5,826.41","6,173.23"
6/25/2018,"6,171.97","6,327.37","6,119.68","6,249.18"
6/26/2018,"6,253.55","6,290.16","6,093.67","6,093.67"
6/27/2018,"6,084.40","6,180.00","6,052.85","6,157.13"
6/28/2018,"6,153.16","6,170.41","5,873.05","5,903.44"
6/29/2018,"5,898.13","6,261.66","5,835.75","6,218.30"
6/30/2018,"6,214.22","6,465.51","6,214.22","6,404.00"
7/1/2018,"6,411.68","6,432.85","6,289.29","6,385.82"
7/2/2018,"6,380.38","6,683.86","6,305.70","6,614.18"
7/3/2018,"6,596.66","6,671.37","6,447.75","6,529.59"
7/4/2018,"6,550.87","6,771.92","6,450.46","6,597.55"
7/5/2018,"6,599.71","6,749.54","6,546.65","6,639.14"
7/6/2018,"6,638.69","6,700.94","6,533.55","6,673.50"
7/7/2018,"6,668.71","6,863.99","6,579.24","6,856.93"
7/8/2018,"6,857.80","6,885.91","6,747.98","6,773.88"
7/9/2018,"6,775.08","6,838.68","6,724.34","6,741.75"
7/10/2018,"6,739.21","6,767.74","6,320.72","6,329.95"
7/11/2018,"6,330.77","6,444.96","6,330.47","6,394.71"
7/12/2018,"6,396.78","6,397.10","6,136.42","6,228.81"
7/13/2018,"6,235.03","6,310.55","6,192.24","6,238.05"
7/14/2018,"6,247.50","6,298.19","6,212.22","6,276.12"
7/15/2018,"6,272.70","6,403.46","6,256.51","6,359.64"
7/16/2018,"6,357.01","6,741.75","6,357.01","6,741.75"
7/17/2018,"6,739.65","7,387.24","6,684.17","7,321.04"
7/18/2018,"7,315.32","7,534.99","7,280.47","7,370.78"
7/19/2018,"7,378.20","7,494.46","7,295.46","7,466.86"
7/20/2018,"7,467.40","7,594.67","7,323.26","7,354.13"
7/21/2018,"7,352.72","7,437.64","7,262.41","7,419.29"
7/22/2018,"7,417.80","7,537.95","7,383.82","7,418.49"
7/23/2018,"7,414.71","7,771.50","7,409.10","7,711.11"
7/24/2018,"7,716.51","8,424.27","7,705.50","8,424.27"
7/25/2018,"8,379.66","8,416.87","8,086.36","8,181.39"
7/26/2018,"8,176.85","8,290.33","7,878.71","7,951.58"
7/27/2018,"7,950.40","8,262.66","7,839.76","8,165.01"
7/28/2018,"8,169.06","8,222.85","8,110.77","8,192.15"
7/29/2018,"8,205.82","8,272.26","8,141.18","8,218.46"
7/30/2018,"8,221.58","8,235.50","7,917.50","8,180.48"
7/31/2018,"8,181.20","8,181.53","7,696.93","7,780.44"
8/1/2018,"7,769.04","7,769.04","7,504.95","7,624.91"
8/2/2018,"7,634.19","7,712.77","7,523.44","7,567.15"
8/3/2018,"7,562.14","7,562.14","7,328.65","7,434.39"
8/4/2018,"7,438.67","7,497.49","6,984.07","7,032.85"
8/5/2018,"7,031.08","7,102.77","6,940.70","7,068.48"
8/6/2018,"7,062.94","7,166.55","6,890.54","6,951.80"
8/7/2018,"6,958.32","7,146.56","6,748.24","6,753.12"
8/8/2018,"6,746.85","6,746.85","6,226.22","6,305.80"
8/9/2018,"6,305.56","6,625.73","6,249.07","6,568.23"
